,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
84989,100,266064,4.0,60.0,14.0,1.0,60.0,Trudvang Legends,2021,"Paul Bonner,Giovanna BC Guimarães,Henning Ludvigsen,Alvaro Tapia","Fantasy,Miniatures",,"Jordy Adan,Fel Barros,Guilherme Goulart,Eric M. Lang,Fabio Tola","Admin: Unreleased Games,Crowdfunding: Kickstarter,Mechanism: Campaign Games",Cooperative Game,CMON Global Limited,108,7.42142
84997,108,266083,6.0,20.0,8.0,2.0,20.0,L.L.A.M.A.,2019,"Rey Sommerkamp,Barbara Spelger,Tomasz Samojlik",Card Game,L.A.M.A.,Reiner Knizia,"Animals: Llamas,Card Games: Climbing,Game: L.L.A.M.A.","Hand Management,Matching","AMIGO,999 Games,Brädspel.se,Brain Games,Broadway Toys LTD,Egmont Polska,Fractal Juegos,Gigamic,Giochi Uniti,Kikigagne?,Korea Boardgames Co., Ltd.,Mercurio,MINDOK,PaperGames (III),Piatnik,Swan Panasia Co., Ltd.,VR Distribution",4212,6.50955
85013,124,266121,6.0,60.0,10.0,1.0,60.0,Unlock!: Heroic Adventures,2018,"Arnaud Demaegd,Laurent Bazart,Mahulda Jelly","Card Game,Exploration,Puzzle,Real-time","Unlock!: Heroic Adventures – Hinunter in den Kaninchenbau,Unlock!: Heroic Adventures – Insert Coin,Unlock!: Heroic Adventures – Sherlock Holmes: Der scharlachrote Faden","Thomas Cauët,Cyril Demaegd,Mathieu Casnin,Dave Neale,Vincent Goyat","Books: Alice in Wonderland,Books: Sherlock Holmes,Category: Escape Room Games,Components: Digital Hybrid – App/Website Required,Players: Games with Solitaire Rules,Series: Unlock! (Space Cowboys)","Cooperative Game,Storytelling","Space Cowboys,Asmodee,Asmodee China,Asterion Press,Galápagos Jogos",2114,7.77712
85018,129,266140,2.0,30.0,13.0,2.0,30.0,Unforgiven,2021,"Nicholas Avallone,Milan Stojanovic",American Civil War,,Tom Butler,"Admin: Unreleased Games,Country: USA,Crowdfunding: Kickstarter,Players: Two Player Only Games","Card Drafting,Deck, Bag, and Pool Building,Dice Rolling,Set Collection,Simulation,Tug of War",Green Feet Games,148,8.0027
85019,130,266141,5.0,50.0,8.0,3.0,30.0,Castello Methoni,2019,Jakub Rebelka,"City Building,Economic,Territory Building",,Leo Colovini,Country: Greece,"Area Majority / Influence,Enclosure",Mandoo Games,121,6.87165
85024,135,266164,4.0,60.0,14.0,2.0,60.0,Babylonia,2019,"Jonas Hassibi,David Prieto","Abstract Strategy,Ancient",,Reiner Knizia,"Ancient: Mesopotamia,Region: Middle East,Rivers: Euphrates,Rivers: Tigris","Area Majority / Influence,Hand Management,Network and Route Building,Tile Placement","Ludonova,Arclight",1073,7.70911
85026,137,266177,8.0,50.0,8.0,2.0,20.0,Tsuro: Phoenix Rising,2019,Andrew Hepworth,Abstract Strategy,,"Ken Franklin,Tom McMurchie",Crowdfunding: Kickstarter,"Hand Management,Network and Route Building,Set Collection,Tile Placement",Calliope Games,305,6.5629
85027,138,266179,4.0,90.0,12.0,2.0,90.0,Space Gate Odyssey,2019,Vincent Dutrait,Science Fiction,,Cédric Lefebvre,,"Follow,Network and Route Building,Tile Placement","Ludonaute,3 Emme Games,Asmodee,Czacha Games",632,7.08539
85029,140,266188,6.0,90.0,10.0,1.0,15.0,Seven Bridges,2020,"Ronald Halliday,Michael T Schroeder","Dice,Transportation",,Ronald Halliday,"Cities: Kaliningrad (Russia),Components: Dice with Icons,Components: Map (City Scale),Mechanism: Dice Drafting,Mechanism: Roll-and-Write,Players: Games with Solitaire Rules","Card Drafting,Connections,Dice Rolling,Line Drawing,Network and Route Building,Paper-and-Pencil,Solo / Solitaire Game","Puzzling Pixel Games,(Self-Published),Funbox Editora",193,7.73152
85030,141,266192,5.0,70.0,10.0,1.0,40.0,Wingspan,2019,"Ana Maria Martinez Jaramillo,Natalia Rojas,Beth Sobel","Animals,Card Game,Educational",,Elizabeth Hargrave,"Animals: Birds,Animals: Crows / Ravens / Magpies,Animals: Ducks,Animals: Geese,Animals: Owls,Animals: Turkeys,Components: Control Boards,Components: Dice with Icons,Components: Drop Tower,Components: Game Trayz Inside,Digital Implementations: Tabletopia,Game: Wingspan,Mechanism: Tableau Building,Players: Games with Solitaire Rules,Theme: Biology,Theme: Nature","Card Drafting,Dice Rolling,Drafting,End Game Bonuses,Hand Management,Set Collection,Solo / Solitaire Game","Stonemaier Games,999 Games,Angry Lion Games,Arclight,Brain Games,Delta Vision Publishing,Divercentro,Feuerland Spiele,Ghenos Games,Green Elephant Games,Kaissa Chess & Games,Korea Boardgames Co., Ltd.,Lautapelit.fi,Lavka Games,Ludofy Creative,Maldito Games,Matagot,MINDOK,NeoTroy Games,Rebel Sp. z o.o.,Regatul Jocurilor,Siam Board Games,Surfin' Meeple China,Ігромаг",48487,8.11123
